NO,KODE,NAMA BAHAN,SUMBER,AIR,ENERGI,PROTEIN,LEMAK,KH,SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,B-KAR,KAR-TOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,
,,,,(g),(Kal),(g),(g),(g),(g),(g),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mcg),(mcg),(mcg),(mg),(mg),(mg),(mg),
1,AR001,"Beras giling, mentah",KZGMI-2001,12,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,27,71,0.1,0.5,0,0,0,0.2,0.08,2.6,0,100
2,AR002,"Beras giling var pelita, mentah",KZGPI- 1990,11.4,369,9.5,1.4,77.1,0.4,0.6,68,171,1.4,34,0,0,0,0,0,0,0.26,0,0,0,100
3,AR003,"Beras giling var rojolele, mentah",KZGPI- 1990,12,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,34,112.9,0.14,0.1,,0,80,0.2,0.02,1.5,0,100
5,AR004,"Beras jagung kuning, kering, mentah",KZGMI-2001,10.8,358,5.5,0.1,82.7,10,0.9,20,90,1.4,1,80,0.1,4.1,,641,,0.12,0.08,1,3,100
6,AR005,"Beras jagung putih, kering, mentah",KZGMI-2001,22.5,307,4.8,0.1,71.8,10,0.8,17,78,1.2,1,70,0.1,3.5,,301,,0.15,0.07,0.9,0,100
7,AR006,"Beras ketan hitam tumbuk, mentah",KZGPI- 1990,13.7,360,8,2.3,74.5,1,1.5,10,347,6.2,11,288,0.28,2.2,0,0,0,0.24,0.1,2,0,100
8,AR007,"Beras ketan putih tumbuk, mentah",KZGPI- 1990,12.9,361,7.4,0.8,78.4,0.4,0.5,13,157,3.4,3,282,0.28,2.2,0,0,0,0.28,0,1.4,0,100
15,AR008,"Jagung muda, kuning, mentah",KZGPI- 1990,61.8,147,5.1,0.7,31.5,1.3,0.9,6,122,1.1,5,33.6,0.13,0.9,0,113,261,0.24,0.1,0.8,9,100
16,AR009,"Jagung kuning pipil, kering, mentah",KZGPI- 1990,11.5,366,9.8,7.3,69.1,2.2,2.4,30,538,2.3,5,79.4,0.1,4.1,,636,641,0.12,0.12,1.8,3,100
17,AR010,"Jagung pipil var, harapan, kering",KZGPI- 1990,11.3,367,6.2,5.1,76.2,2.6,1.2,7,354,2.8,1,79.6,0.1,4.1,,637,385,0.19,0.08,1,0,100
18,AR011,"Jagung pipil var, metro, kering",KZGPI- 1990,10.6,368,5.5,4.6,78,2.9,1.3,7,300,2.4,1,80.2,0.1,4.1,,642,554,0.16,0.08,1,0,100
22,AR012,Nasi,KZGPI- 1990,56.7,180,3,0.3,39.8,0.2,0.2,25,27,0.4,1,38,0.1,0.6,0,0,,0.05,0.1,2.6,0,100
23,AR013,Nasi tim,OKN-1992,71,120,2.4,0.4,26,0.5,0.2,3,7,0.4,0,23.9,0.1,0.4,,0,,0.1,0,1.4,0,100
26,AR014,"Beras merah, Nasi",KZGPI- 1990,64,149,2.8,0.4,32.5,0.3,0.3,6,63,0.8,5,91.4,0.2,0.9,0,0,0,0.06,0,1.6,0,100
27,AR015,"Bihun, mentah",DABM-1964,12.9,348,4.7,0.1,82.1,1.2,0.2,6,35,1.8,12,5,0.08,0.7,0,0,0,0,0,0.2,0,100
28,AR016,Bihun goreng instan,KZGMS-1993,9,381,6.1,3.9,80.3,,0.7,266,151,2.9,928,,,,58,,400,0.37,,,0,100
29,AR017,"Bihun Jagung, mentah",BKP,11.3,354,0.5,0.3,87.4,3,0.5,13,111,0.6,49,1.4,0.4,0,,0,0,0.02,0.02,0.3,0,100
30,AR018,"Jagung nasi, mentah",BKP,11,357,8.8,0.5,79.5,6.2,0.3,5,43,0.6,2,30.4,0.1,0.3,,0,0,0.3,0.02,0.1,0,100
31,AR019,"Jagung muda, rebus",KZGPI- 1990,53.2,142,5,0.7,30.3,0.8,0.8,5,105,0.8,5,24.3,0.2,0.9,,145,225,0.15,0,0.7,0,100
32,AR020,"Jagung kuning, tepung",DABM-1964,12,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.23,1.7,,0,510,0.38,0.02,0.3,,100
33,AR021,"Jagung kuning pipil, rebus",KZGPI- 1990,63.7,154,3.8,3.5,28.4,0.7,0.6,7,171,0.5,5,56.4,0.1,4.4,,818,234,0.08,0.1,1.7,0,100
34,AR022,"Jagung, tepung putih",DABM-1964,12,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.23,1.7,,0,0,0.38,0.02,0.3,,100
35,AR023,"Ketan, ketupat",KZGPI- 1990,52,212,4,4.6,38.6,0.2,0.9,8,46,1,,,,,0,0,0,0.07,,0.2,0,100
36,AR024,"Ketan hitam, matang",KZGPI- 1990,56.9,181,4,1.2,37.3,0.3,0.6,9,144,1.7,9,18.4,0.1,0.7,0,0,0,0.06,0,0.5,0,100
37,AR025,"Ketan hitam, tapai",KZGPI- 1990,50.2,166,3.8,1,34.4,0.3,0.6,8,106,1.6,5,12,,,,,0,0.02,,,0,100
