KODE,NAMA BAHAN,SUMBER,ENERGI,PROTEIN,LEMAK,KH,SERAT,Cluster
AR001,"Beras giling, mentah",KZGMI-2001,357,8.4,1.7,77.1,0.2,2
AR002,"Beras giling var pelita, mentah",KZGPI- 1990,369,9.5,1.4,77.1,0.4,2
AR003,"Beras giling var rojolele, mentah",KZGPI- 1990,357,8.4,1.7,77.1,0.2,2
AR004,"Beras jagung kuning, kering, mentah",KZGMI-2001,358,5.5,0.1,82.7,10,2
AR005,"Beras jagung putih, kering, mentah",KZGMI-2001,307,4.8,0.1,71.8,10,2
AR006,"Beras ketan hitam tumbuk, mentah",KZGPI- 1990,360,8,2.3,74.5,1,2
AR007,"Beras ketan putih tumbuk, mentah",KZGPI- 1990,361,7.4,0.8,78.4,0.4,2
AR008,"Jagung muda, kuning, mentah",KZGPI- 1990,147,5.1,0.7,31.5,1.3,0
AR009,"Jagung kuning pipil, kering, mentah",KZGPI- 1990,366,9.8,7.3,69.1,2.2,2
AR010,"Jagung pipil var, harapan, kering",KZGPI- 1990,367,6.2,5.1,76.2,2.6,2
AR011,"Jagung pipil var, metro, kering",KZGPI- 1990,368,5.5,4.6,78,2.9,2
AR012,Nasi,KZGPI- 1990,180,3,0.3,39.8,0.2,0
AR013,Nasi tim,OKN-1992,120,2.4,0.4,26,0.5,0
AR014,"Beras merah, Nasi",KZGPI- 1990,149,2.8,0.4,32.5,0.3,0
AR015,"Bihun, mentah",DABM-1964,348,4.7,0.1,82.1,1.2,2
AR016,Bihun goreng instan,KZGMS-1993,381,6.1,3.9,80.3,0,2
AR017,"Bihun Jagung, mentah",BKP,354,0.5,0.3,87.4,3,2
AR018,"Jagung nasi, mentah",BKP,357,8.8,0.5,79.5,6.2,2
AR019,"Jagung muda, rebus",KZGPI- 1990,142,5,0.7,30.3,0.8,0
AR020,"Jagung kuning, tepung",DABM-1964,355,9.2,3.9,73.7,7.2,2
AR021,"Jagung kuning pipil, rebus",KZGPI- 1990,154,3.8,3.5,28.4,0.7,0
AR022,"Jagung, tepung putih",DABM-1964,355,9.2,3.9,73.7,7.2,2
AR023,"Ketan, ketupat",KZGPI- 1990,212,4,4.6,38.6,0.2,0
AR024,"Ketan hitam, matang",KZGPI- 1990,181,4,1.2,37.3,0.3,0
AR025,"Ketan hitam, tapai",KZGPI- 1990,166,3.8,1,34.4,0.3,0
AR026,"Ketan putih, matang",KZGPI- 1990,163,3,0.4,35.7,0.2,0
AR027,"Ketan putih, tapai",KZGPI- 1990,172,3,0.5,37.5,0.6,0
AR028,"Makaroni, mentah",DABM-1964,353,8.7,0.4,78.7,4.9,2
AR029,Mi basah,DABM-1964,88,0.6,3.3,14,0.1,0
AR030,Mi kering,KZGPI- 1990,339,10,1.7,6.3,0.4,0
AR031,Misoa,KZGPI- 1990,345,8.5,2.2,78,0.5,2
AR032,Roti putih,DABM-1964,248,8,1.2,50,9.1,0
AR033,Mie aceh rebus,KZGMI-2001,113,3,3.2,18.1,,0
AR034,Mie ayam,KZGMS-1993,102,6.2,3.9,10.5,,0
AR035,Mie bakso,KZGMS-1993,114,5.3,3,16.4,0.1,0
AR036,Mie celon,KZGMI-2001,102,3,2.1,17.8,,0
AR037,Mie pangsit basah,KZGMS-1993,105,5.9,4.9,9.4,,0
AR038,Nasi gemuk,KZGMI-2001,192,3.8,8.8,24.4,0.7,0
AR039,Nasi gurih,KZGMI-2001,190,4.7,7.5,26,0.7,0
AR040,Nasi minyak,KZGMI-2001,207,3.5,5,37.1,0.8,0
AR041,Nasi rames,KZGMS-1993,155,10.3,4.2,19.1,,0
AR042,Spaghetti,KZGMS-1993,139,7.4,2.1,22.6,,0
